epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10797.3,0.47709,0.51613,0.97499,0.60197,0.64787,0.6776,0.58535,0.53753,0.86314,1.1217,0.00119699,0.00119699,0.00119699
43,11048.7,0.48194,0.52905,0.98151,0.60173,0.81352,0.74642,0.67491,0.51476,0.76609,1.1174,0.00119133,0.00119133,0.00119133
44,11300.2,0.47333,0.49803,0.97359,0.81317,0.6278,0.69415,0.61708,0.50938,0.87316,1.10375,0.00118567,0.00118567,0.00118567
45,11552,0.46107,0.48247,0.97667,0.80392,0.66324,0.66358,0.5902,0.50163,0.80425,1.05828,0.00118001,0.00118001,0.00118001
46,11805.3,0.47333,0.48234,0.9709,0.77247,0.63028,0.72023,0.61722,0.50685,0.78378,1.06503,0.00117435,0.00117435,0.00117435
47,12057.3,0.4969,0.50883,0.98708,0.62056,0.681,0.69779,0.6212,0.48785,0.80033,1.06049,0.00116869,0.00116869,0.00116869
48,12310.1,0.47679,0.474,0.96963,0.66224,0.68029,0.67599,0.60849,0.46021,0.82518,1.00553,0.00116303,0.00116303,0.00116303
49,12563.1,0.46046,0.47174,0.96517,0.63982,0.79225,0.72343,0.63731,0.508,0.76113,1.06074,0.00115738,0.00115738,0.00115738
50,12815.5,0.47388,0.46853,0.97862,0.64552,0.79648,0.72303,0.61388,0.52873,0.75496,1.08182,0.00115172,0.00115172,0.00115172
51,13067.5,0.45875,0.45818,0.97069,0.67286,0.71614,0.72352,0.65451,0.4777,0.70611,1.041,0.00114606,0.00114606,0.00114606
52,13319.1,0.45583,0.45479,0.96562,0.80452,0.69372,0.71281,0.64607,0.49626,0.77151,1.07064,0.0011404,0.0011404,0.0011404
53,13572.5,0.45759,0.46978,0.96364,0.61092,0.69472,0.68158,0.61656,0.48926,1.09802,1.04957,0.00113474,0.00113474,0.00113474
54,13829.7,0.45512,0.47589,0.9574,0.80044,0.69174,0.71594,0.64826,0.52387,0.74863,1.07805,0.00112908,0.00112908,0.00112908
55,14082.5,0.45014,0.46058,0.9635,0.61859,0.76541,0.69546,0.6161,0.52084,0.78726,1.08874,0.00112342,0.00112342,0.00112342
56,14334.7,0.45439,0.43662,0.96136,0.68219,0.71646,0.70918,0.63,0.52244,0.73096,1.10081,0.00111776,0.00111776,0.00111776
57,14586.9,0.46217,0.46645,0.96966,0.77092,0.63148,0.74729,0.67248,0.50908,0.74318,1.07968,0.0011121,0.0011121,0.0011121
